net,length_um
_0454_,1080.24
net211,1079.4
_0374_,1078.29
net448,1077.84
_0674_,1077.26
_0054_,1074.38
net201,1074.26
_0629_,1073.81
RF.registers\[10\]\[28\],1072.78
RF.registers\[15\]\[26\],1071.45
_0016_,1069.44
RF.registers\[25\]\[20\],1068.08
_0384_,1067.26
net467,1066.36
net464,1064.92
_0411_,1063.56
net340,1063.06
RF.registers\[25\]\[0\],1062.64
_0670_,1062.24
net331,1060.485
_0403_,1058.04
_0643_,1057.42
RF.registers\[15\]\[11\],1056.94
_0901_,1055.96
_1089_,1055.88
RF.registers\[10\]\[16\],1055.35
net90,1054.98
_0156_,1054.84
RF.registers\[20\]\[13\],1053.76
net363,1053.47
_0537_,1052.9
net95,1051.7
_0481_,1049.63
net2,1049.19
_0761_,1048.53
_0375_,1048.08
net337,1047.51
net447,1046.42
_0867_,1043.04
RF.registers\[25\]\[15\],1042.64
net173,1041.68
_0723_,1037.9
_1096_,1037.3
_0468_,1037.24
_0799_,1037.19
_0659_,1035.96
net306,1034.52
RF.registers\[10\]\[21\],1034.495
RF.registers\[0\]\[29\],1034.28
RF.registers\[25\]\[31\],1033.1
RF.registers\[15\]\[30\],1030.87
_0993_,1030.72
_0590_,1030.6
_0501_,1030.42
_0346_,1030.35
net4,1029.6
_0272_,1029.36
net248,1029.28
_0936_,1029.2
_0431_,1028.3
_0570_,1027.36
_1286_,1026.7
_0449_,1026.5
_0842_,1025.31
_0027_,1024.65
_1241_,1024.42
RF.registers\[20\]\[24\],1023.22
_0090_,1023.06
_0942_,1022.78
RF.registers\[5\]\[0\],1022.315
_0334_,1021.76
net468,1021.3
_0013_,1021.13
RF.registers\[15\]\[31\],1018.65
_0550_,1018.5
_0397_,1018.38
_1077_,1017.76
_0307_,1017.28
net417,1017.22
_1252_,1016.86
_0296_,1016.52
net116,1016.36
_0379_,1015.41
RF.registers\[5\]\[1\],1014.48
_0809_,1013.91
_0099_,1013.32
_1188_,1010.93
net398,1010.28
net332,1010.18
net352,1010.055
_0213_,1009.22
_0680_,1008.9
_1195_,1008.7
net439,1007.74
_0745_,1005.65
_0154_,1004.38
